T [K]	C [nF]
306	0.273
312.9	0.296
313.4	0.298
314.4	0.304
315.4	0.31
316.4	0.316
317.4	0.323
318.4	0.331
319.4	0.338
320.3	0.35
321.4	0.36
322.6	0.374
323.6	0.385
324.4	0.403
325.5	0.417
326.7	0.444
327.5	0.458
328.8	0.54
329	0.58
329.6	0.63
330.2	0.672
330.8	0.69
331.3	0.7
331.6	0.706
331.9	0.718
332.1	0.723
332.4	0.73
332.7	0.734
333	0.718
334.3	0.737
335.4	0.757
336	0.79
337.7	0.8
338.1	0.812
