Kot	I [A]
-90	4.87E-05
-85	5.34E-05
-80	5.81E-05
-75	6.41E-05
-70	6.63E-05
-65	6.96E-05
-60	7.30E-05
-55	7.83E-05
-50	7.80E-05
-45	7.53E-05
-40	7.59E-05
-35	7.38E-05
-30	6.90E-05
-25	6.59E-05
-20	5.86E-05
-15	5.56E-05
-10	4.96E-05
-5	4.28E-05
0	3.61E-05
5	2.97E-05
10	2.42E-05
15	1.91E-05
20	1.47E-05
25	1.06E-05
30	7.58E-06
35	5.59E-06
40	4.83E-06
45	5.23E-06
50	6.62E-06
55	9.30E-06
60	1.32E-05
65	1.83E-05
70	2.34E-05
75	2.86E-05
80	3.28E-05
85	3.81E-05
90	4.35E-05
