Kot	I [A]
-90	3.18E-06
-85	7.28E-06
-80	1.49E-05
-75	2.37E-05
-70	3.33E-05
-65	4.33E-05
-60	5.13E-05
-55	5.81E-05
-50	6.14E-05
-45	5.99E-05
-40	5.57E-05
-35	4.74E-05
-30	3.74E-05
-25	2.73E-05
-20	1.72E-05
-15	9.31E-06
-10	3.92E-06
-5	2.03E-06
0	3.59E-06
5	9.56E-06
10	1.80E-05
15	2.76E-05
20	3.82E-05
25	4.77E-05
30	5.80E-05
35	6.27E-05
40	6.42E-05
45	6.31E-05
50	5.85E-05
55	5.02E-05
60	3.93E-05
65	2.78E-05
70	1.77E-05
75	9.95E-06
80	4.04E-06
85	1.99E-06
90	3.37E-06
